40,Cambodia,88.7,8,5.3,6.9,7.9,7.1,7.7,8.7,8.3,7.7,6.4,7.7,7,2.5,9.9,3.2,3.7
40,Laos,88.7,7.9,5.9,6.8,6.7,5.8,7.3,8.3,8.1,8.7,7.4,8.5,7.3,2.8,9.3,1,5.9
40,Rwanda,88.7,9.1,7,8.5,7,7.2,7,7.5,7.4,7.5,5,8,7.5,3.5,9.2,7.3,4.4
43,Solomon Islands,88.6,8.3,4.8,7,5.4,7.9,8,8.1,8.2,6.8,7,8,9.1,3.3,9.5,0.4,2.7
44,Equatorial Guinea,88.5,8.4,2.3,6.8,7.4,8.8,4.7,9.6,8.4,9.4,8.4,8.4,5.9,3.6,9.4,1,7.9
45,Kyrgyzstan,88.4,7.8,5.2,7.4,7.3,7.9,7.9,8.4,6.3,7.6,7.6,7.4,7.6,2.7,8.4,5.5,2.7
46,Colombia,88.2,6.7,9,7.2,8.3,8.3,4.6,7.7,5.8,6.9,7.7,8,8,1.7,6.3,3.8,1.6
47,Togo,88.1,8,6.2,5.6,7,7.6,8,7.5,8.4,7.7,7.6,7.6,6.9,3.8,9.7,6.7,5.9
49,Egypt,87.6,7.4,6.7,8.2,6,7.4,6.8,8.4,6.1,8.2,6.5,8.1,7.8,2.7,7.8,0.4,2.4
50,Bhutan,87.3,7,7.3,7.7,7.1,8.5,7.5,6.9,7.3,7.9,5.8,7.7,6.6,2,8.6,1.4,3.4
51,Philippines,87.1,7.7,6.7,7.6,7,7.4,5.8,8.6,6.3,7.5,7.9,8,6.6,2.5,7.5,4.1,2.5
52,Comoros,85.1,7.5,3.9,5.6,6.4,6.1,7.6,8.2,8.5,6.8,7.5,8,9,3.5,9.5,7.1,6.3
53,Bolivia,84.9,7.6,4.7,7.7,6.7,8.7,6.8,7.1,7.5,6.6,6.5,8.3,6.7,2.5,7.8,3.4,3.7
54,Israel/West Bank,84.6,7,7.8,9.5,3.8,7.7,4.4,7.3,6.8,7.8,6.5,8.2,7.8,2.2,3.2,2.3,0.4
55,Azerbaijan,84.4,6.2,8.1,7.9,5.7,7.3,5.9,8,5.5,7.2,7.3,7.9,7.4,1.8,5.4,5.8,3.4
56,Papua New Guinea,83.9,7.5,4.2,7.1,7.7,9,6.3,7.8,8.3,6.3,6.5,7.1,6.1,3,9.9,0.3,5
56,Zambia,83.9,9,7.3,5.4,7.1,7.3,8,7.5,8,5.9,5,6.1,7.3,4.2,9,3.2,5.3
58,Moldova,83.8,6.4,4.3,6.9,7.8,6.8,7,7.9,6.7,6.8,7.8,8,7.4,1.1,6.8,7.5,1.5
59,Angola,83.7,8.4,6.9,5.9,5.6,9.1,5,8.1,8,7.3,5.9,6.8,6.7,4.8,9.7,4.7,11
60,Bosnia,83.5,5.3,7.1,8.7,5.6,7.1,5.7,8,5.4,5.9,7.2,9.2,8.3,0.9,5.7,4.2,0.6
61,Indonesia,83.1,7.2,6.5,6.3,7.3,7.9,6.7,6.9,6.7,6.5,7.3,7.1,6.7,2.1,8.9,3.1,2.7
62,China,83,8.8,6.6,8,5.9,9,4.3,8.3,7,9,5.8,7.2,3.1,1.2,6.6,5.5,1.4
63,Swaziland,82.8,9.1,4.2,4.2,6.2,6.2,8.2,8.6,7.6,7.7,6.6,6.9,7.3,3.1,8.9,7.1,5.9
64,Madagascar,82.6,8.6,4.8,5.4,5.3,7.7,7.2,7.1,8.6,5.8,6.4,7.7,8,3.5,9.8,7.1,4.2
65,Nicaragua,82.5,6.8,5,6.3,6.9,7.9,7.9,7.6,7.6,6.2,6.5,7,6.8,2.2,9,4.2,2.2
65,Turkmenistan,82.5,6.8,4.6,6.3,5.4,7.4,6.6,8.4,7,9,7.7,7.7,5.6,2.2,9.7,7.2,5
67,Lesotho,82.2,9.2,4.8,5.2,6.7,5.7,8.7,7.2,8.5,6.3,5.9,7.2,6.8,2.9,9.6,7.7,7.5
68,Dijbouti,81.9,7.9,6.8,5.9,5.5,6.5,6.4,7.2,7.3,6.6,6,7.1,8.7,2.7,9.3,7.3,6.2
69,Ecuador,81.7,6.3,6.1,6.4,7.5,8,6.7,7.4,7,5.8,6.6,7.8,6.1,2.2,7.1,3,2.1
69,Mozambique,81.7,8.8,3.5,4.8,7.8,7.5,7.8,7.5,8.9,7.3,6.2,5.4,6.2,4.1,9.6,6.4,7.2
71,Algeria,81.3,6.7,6.5,8.2,6.1,7.1,5.1,7.5,6.5,7.6,7.5,6.8,5.7,2.5,8.7,1.7,2.4
72,Guatemala,81.2,7.4,5.6,6.8,6.7,8,6.9,7.1,6.8,6.9,7.2,6.3,5.5,2.9,8.9,3.7,2.8
72,Tanzania,81.2,8.2,7.3,6.4,6.1,6.7,7.2,6.5,8.3,5.9,5.6,6,7,4.1,9.7,4.2,4.2
74,Fiji,80.5,5.9,4.2,7.4,6.6,7.5,6.7,8.9,5.5,6.7,6.8,8.2,6.1,2.2,8,2.3,2
75,Gambia,80.2,7.6,6,4.6,6.2,6.8,7.5,7.6,7.2,7.4,5.8,6.2,7.3,4.3,9.1,6.1,5.2
76,Honduras,80,7.6,4.1,5,6.5,8.3,7.5,7.5,6.9,6.3,7,6.8,6.5,2.3,8.9,2.9,2.1
77,Cuba,79.4,6.7,5.7,5.5,7.2,6.6,6.3,7,5,7.5,7.3,7.1,7.5,1.1,8.4,6.1,0.5
78,Mali,79.3,8.7,4.8,6.3,7.5,7,8.1,5.4,8.5,5,7,4,7,4.6,9.8,3.4,8.3
79,India,79.2,8.1,5.2,7.8,6.5,8.7,5.1,5.8,7.2,6.1,7.6,6.2,4.9,2.2,9.2,6,4.6
80,Russia,79,6.7,5.4,7.1,6,7.9,5.1,8.1,5.5,8,6.8,7.6,4.8,1.3,5.7,1.3,1
81,Thailand,78.8,6.7,6.7,7.8,4.7,7.5,4.3,8,5.4,7,7.4,8,5.3,1.2,7.8,4.1,1.3
82,Belarus,78.7,6.7,3.7,6.4,4.8,6.7,6.7,8.7,6.2,7.9,6.2,7.8,6.9,1.1,6.8,4.4,0.5
82,Venezuela,78.7,6.3,5.1,6.8,6.7,7.6,5.8,7.2,6.1,7.2,6.7,7.5,5.7,2.1,6.3,2.4,1.4
84,Maldives,78.3,6.3,6.4,5.2,7.1,5.3,7,7.3,7.1,7.3,6.1,7.4,5.8,2.1,7.3,2.6,1.1
85,El Salvador,78.1,8.1,5.7,5.9,7.1,7.9,6.6,6.8,7,6.7,6.7,4.5,5.1,1.8,8.4,7.4,1.7
86,Serbia,77.8,5.6,6.9,7.8,5.3,6.9,6.2,6.8,5.2,5.6,6.5,8,7,0.9,5.9,5.8,0.7
87,Saudi Arabia,77.5,6.3,6.2,7.8,3.5,7.3,3.1,8.2,4.1,9.1,7.8,7.8,6.3,2.2,5.9,8.1,1.5
88,Cape Verde,77.2,7.7,4.1,4.4,8.2,6,7,7.2,7.4,6,5.5,6.1,7.6,2.2,7,1.9,2.3
89,Turkey,77.1,6.3,6.3,8,4.8,7.8,5.8,6,5.4,5.5,7.4,7.8,6,1.8,6,5.1,1.6
90,Jordan,77,6.8,7.9,6.9,4.8,7.2,6.2,5.9,5.2,7,5.9,6.5,6.7,2.8,7.3,1.1,1.8
90,Morocco,77,6.8,6.6,6.6,6.4,7.6,6.5,7.2,6.6,6.8,5.4,6.2,4.3,2.1,4.8,6.7,2.9
92,Peru,76.9,6.4,4.5,6.7,7,8,5.6,6.9,6.5,5.5,7.4,6.9,5.5,2.1,6.5,1.9,1.6
93,Benin,76.8,7.7,6.7,4.2,6.7,7.4,7.4,6.4,8.4,5.5,5.3,4.1,7,3.8,9.7,3.1,7.1
93,Dominican Republic,76.8,6.5,5.1,5.8,8.3,7.8,5.9,5.6,6.9,6.5,5.6,6.8,6,2.2,6.9,5,2.8
95,Vietnam,76.6,6.9,5.2,5.3,5.9,6.5,6.6,7.3,6.4,7.3,6,7,6.2,1.7,6.9,3.5,2
96,Mexico,76.1,6.8,4.1,5.8,6.8,8,6.5,6.6,5.8,5.8,7.5,5.5,6.9,2,6.9,5.5,1.4
97,Sao Tome,75.8,7.5,4.1,5.1,7,5.9,7.3,7.3,7.3,5.1,6,6.7,6.5,3.6,8.1,5.1,4
98,Gabon,75.3,7,5.9,3,6.4,7.9,5.9,7.8,6.6,6.4,5.7,7.2,5.5,3.1,9.3,2,4.3
99,Senegal,74.6,7.6,6.2,6.1,5.8,7,6.2,5.9,7.4,6,6.3,4.2,5.9,3.9,9.2,4.9,4.7
100,Namibia,74.5,7.5,5.7,5.6,7.5,8.9,6.5,4.8,6.9,5.8,5.6,3.7,6,3,8.8,4.7,3.8
101,Armenia,74.1,5.7,6.9,6,7,6.5,5.8,6.6,5.3,6.4,5.1,7,5.8,1.4,7.5,6.1,1.6
102,Guyana,73,6.1,3.6,6.2,8,7.7,6.9,6.8,5.3,5.2,6.6,5.1,5.5,1.9,7,0.9,3.4
103,Kazakhstan,72.7,5.8,4,5.7,4.1,6.2,6.7,7.5,5.5,7.1,6.3,7.6,6.2,2.3,6.8,8,1.9
103,Macedonia,72.7,4.8,4.6,7.6,6.7,7.1,6.6,6.9,4.6,5.1,5.6,6.5,6.6,1.1,4.8,4.4,0.9
105,Suriname,72.5,6,3.7,6.4,6.7,7.7,6.6,6.5,5.1,5.8,6,5.8,6.2,1.9,6.8,0.1,2.2
106,Paraguay,72.1,6.2,1.5,6.3,5.8,8,6.2,8.3,5.8,6.7,5.9,7.5,3.9,2.2,8,5.3,2
107,Samoa,71.1,6.9,3.1,5.1,8,6.6,6.2,6.4,5.1,4.5,5.8,5.3,8.1,2.8,9.3,1.2,1.6
108,Micronesia,70.6,7,3.1,4.5,8.1,6.8,6.4,6.6,6.6,2.8,5.1,5.5,8.1,2.4,8,3.1,3.3
109,Ukraine,69.5,5.6,3.1,6.9,6.6,6.2,6.3,7.2,4,5.3,3.8,7.9,6.6,1.1,7.7,7.1,1
110,Malaysia,69.2,6.3,5,6.6,3.9,7,5.1,5.9,5,6.8,5.9,6.3,5.4,1.7,4.4,2.3,0.7
111,Libya,69.1,5.7,4.3,5.8,4.2,6.9,5.3,7.3,4.2,8.3,5.2,7.1,4.8,2.3,8.6,0.9,1.4
112,Belize,68.7,6.5,5.1,4.9,6.7,7.1,6.2,6.2,5.8,3.8,5.7,4.6,6.1,2.4,7.2,0.7,1.6
