57,Comoros,83,7.3,4.2,5.3,6.9,6.1,7.9,7.7,7.9,6.3,7.5,7.5,8.4,3.5,9.5,7.1,6.3,2.9
2,Congo (D. R.),111.2,9.9,9.7,9.3,7.4,8.9,8.8,9.5,9.2,9.7,9.7,9.5,9.6,4.4,9.9,1.1,8.5,8.9
33,Congo (Republic),90.1,8.3,7.7,6.3,6.5,7.9,7.5,8.6,8.4,7.2,7,6.7,7.9,3.8,9.5,3.1,4.2,6.9
139,Costa Rica,49.7,4.6,4,4.4,3.8,6.4,4.6,3.2,4.5,2.7,2.8,3.5,5.2,1.6,6.3,3.6,0.9,6.4
11,Cote d'Ivoire,103.6,7.9,9,9,7.6,7.7,7.4,9.6,8.3,8.3,8.9,9.9,10,3.8,9.7,6.5,7.7,3.5
130,Croatia,56.3,4,5.2,5.6,4.7,4.7,5.4,4.2,3.2,4.6,4.7,4.7,5.3,1,4.3,2.4,0.5,7.6
101,Cuba,73.1,6,5,4.8,6.6,5.9,5.5,6.4,5,7.4,6.6,6.9,7,1.1,8.4,6.1,0.5,3.9
115,Cyprus,66.8,4.1,4.7,7.3,5,7,5.4,5.2,3.1,3.3,5,7.9,8.8,1.2,4.7,1.2,0.3,8.8
155,Czech Republic,39.5,2.8,2.5,3.5,3.7,3.5,4.3,3.5,3.6,2.7,2.1,3.8,3.5,1.1,3.1,5.5,0.3,4.5
175,Denmark,23,2.8,1.9,3,2.2,1.8,2.2,0.8,1.7,1.5,1.8,1,2.3,1.1,1.1,6.2,0.3,3.8
53,Dijbouti,83.8,8.3,6.9,6.5,4.9,7.1,6.6,7.5,7.2,6.8,6.5,7.5,8,2.7,9.3,7.3,6.2,2.7
95,Dominican Republic,74.1,6.5,5.2,5.8,7.6,7.2,5.8,5.7,6.5,6,5.5,6.5,5.9,2.2,6.9,5,2.8,5
67,Ecuador,80.1,5.6,6,6.9,7.1,7.7,5.9,7.5,7.2,5.2,6.5,8.2,6.3,2.2,7.1,3,2.1,7
31,Egypt,90.4,7.1,6.4,8.8,5.7,7.4,7.1,9.2,5.9,9,7,8.8,8,2.7,7.8,0.4,2.4,9.6
93,El Salvador,74.4,7.7,5.2,6,7.2,7.3,6,6.2,6.6,6.4,6.7,4.3,4.8,1.8,8.4,7.4,1.7,2.6
43,Equatorial Guinea,86.3,8.2,3,6.6,6.9,8.8,4.8,9.4,7.8,9.1,7.8,8.2,5.7,3.6,9.4,1,7.9,9
23,Eritrea,94.5,8.6,7.1,6.4,7.1,6.9,8.6,8.4,8.2,8.7,7.8,8.1,8.5,3.7,9.9,7.5,3.9,2.5
143,Estonia,47.5,3.8,3.6,5.7,4.2,4.6,3.8,3.8,3,2.7,3.2,5.5,3.6,1.2,2.6,2.2,0.4,7.8
17,Ethiopia,97.9,9.6,8.7,8.1,7,7.9,7.4,7.2,8.4,8.6,8.1,8.7,8.2,3.5,9.9,3.6,5.1,6.4
65,Fiji,80.5,5.1,3.3,7.6,7.3,7.7,7,8.8,5.2,7,7,7.9,6.6,2.2,8,2.3,2,7.7
177,Finland,20,2.2,1.9,1.4,2.6,1.3,2.9,0.8,1.8,1.4,1.3,1.2,1.2,1.1,1.3,0.8,0.3,9.2
162,France,33.6,3,2.5,5.6,1.8,4.6,3.9,1.9,1.8,2.7,2.2,1.9,1.7,1.3,2.3,5.3,0.4,4.7
92,Gabon,74.6,6.5,5.9,3.3,5.8,7.6,5.7,7.8,6.9,6.8,5.7,7.1,5.5,3.1,9.3,2,4.3,8
63,Gambia,80.6,7.8,6.1,3.7,6.8,6.5,7.4,7.8,7.2,7.5,5.8,6.8,7.2,4.3,9.1,6.1,5.2,3.9
51,Georgia,84.8,5.5,7.2,8.3,5.2,6.6,6.3,8.5,5.7,6.7,7.6,9.1,8.2,1.4,7.3,3.6,1.5,6.4
164,Germany,31.7,2.5,3.9,4.4,2.5,4.1,2.6,1.7,1.8,2,2.5,2.1,1.7,0.8,1.8,4.8,0.4,5.2
112,Ghana,67.5,6.7,5.2,5.2,7.6,6.2,6,4.8,7.6,4.5,3.3,4.7,5.7,3.4,9.2,6.9,5,3.1
138,Greece,50.4,3.8,2.3,4.8,4.7,4.6,5.9,5.4,4.2,3.3,4,2.5,4.8,1,5.6,6.4,0.4,3.6
121,Grenada,65,5.5,2.9,3.9,8.2,6.2,6,6.2,3.9,4,5.3,5.6,7.4,1.9,7.3,3.2,1.2,6.8
