1,Somalia,156.2,9.8,10,9.6,8.6,8.1,9.7,9.9,9.8,9.9,10,9.8,9.8,4.5,10,7,9.8,3,6.9
2,Congo (D. R.),148.9,9.9,9.7,9.3,7.4,8.9,8.8,9.5,9.2,9.7,9.7,9.5,9.6,4.4,9.9,1.1,8.5,8.9,4.9
N/R,South Sudan,148.5,8.4,9.9,10,6.4,8.8,7.3,9.1,9.5,9.2,9.7,10,10,3.8,9.3,0,7.1,10,10
4,Chad,146.5,9.3,9.5,9.1,7.7,8.6,8.3,9.8,9.5,9.3,8.9,9.8,7.8,4.7,9.8,3.9,9.4,6.1,5
6,Afghanistan,142.1,8.9,9,9.4,7.4,8.1,7.7,9.5,8.5,8.5,9.7,9.4,10,3.9,9.6,5.8,7.5,4.2,5
3,Sudan,140.8,8.4,9.9,10,8.3,8.8,7.3,9.5,8.5,9.4,9.7,9.9,9.5,3.5,8.3,5.7,5.3,4.3,4.5
10,Central African Republic,140.6,8.8,9.7,8.5,5.6,8.7,8,8.9,9.1,8.5,9.6,9.1,9.3,3.5,9.8,0.8,10.2,9.2,3.3
7,Haiti,139.3,9.5,8.1,7,8.8,8.6,9.5,9.3,9.3,7.7,8.2,9,9.7,2.7,9.2,6.8,8.6,3.2,4.1
5,Zimbabwe,137.1,9,8.4,8.7,9,8.9,8.9,9.4,9.1,8.9,8.7,9.8,7.5,3.6,9.4,4.2,5.6,5.8,2.2
11,Cote d'Ivoire,136.7,7.9,9,9,7.6,7.7,7.4,9.6,8.3,8.3,8.9,9.9,10,3.8,9.7,6.5,7.7,3.5,1.9
8,Yemen,135.9,8.8,8.7,9,7,8.4,8.7,9.1,9,8.4,9.7,9.8,8.3,3.5,8.8,4.5,4.2,5.5,4.5
12,Guinea,135.5,8.3,8,7.9,8,8.1,8.9,9.5,8.6,8.7,9.4,9.2,7.3,3.9,9.9,5.8,7.1,4.2,2.7
14,Nigeria,134.6,8.4,6.5,9.7,7.6,8.9,7.5,9.1,9.1,8.6,9.2,9.8,6.6,4.1,7.6,7.7,8.2,2.3,3.7
15,Guinea Bissau,133.1,8.7,7.5,5.7,7.7,7.8,9,9.3,8.5,7.5,9.4,9.2,8.9,3.8,9.8,5.8,7.3,4.2,3
18,Niger,132.9,9.3,6.9,7.7,6,7.6,8.6,8.4,9.2,7.9,8.2,8.6,8.4,5,9.9,3.5,6.6,6.5,4.6
9,Iraq,131.9,8,8.5,9.7,8.6,8.7,7.7,8.4,7.8,8.3,9.9,9.6,9,3.5,9.7,1.9,3,8.1,1.5
13,Pakistan,131.9,8.5,9,9.6,7.2,8.2,7.2,8.3,7,8.6,9.3,9.1,9.4,3,9.2,4.6,7.4,5.4,0.9
17,Ethiopia,131.6,9.6,8.7,8.1,7,7.9,7.4,7.2,8.4,8.6,8.1,8.7,8.2,3.5,9.9,3.6,5.1,6.4,5.2
18,Burundi,130.8,8.8,8.9,8,5.9,7.9,8.8,8.3,8.5,8.1,7.4,7.9,9,4.5,9.9,7.1,6.4,2.9,2.5
31,Sierra Leone,129.3,8.9,7.8,6.2,7.7,8.2,8.3,7.6,8.7,6.4,5.7,7.9,7.1,3.9,9.9,5.4,10.7,4.6,4.3
16,Kenya,129,8.9,8.4,8.9,7.7,8.2,7.3,8.6,8.1,7.4,7.6,9,8.4,3.7,8.6,4.8,4.2,5.2,4
20,Uganda,127.4,8.8,8.2,7.7,6.9,8.1,7.5,8,8.6,7.8,8.3,8.7,7.9,4.5,8.7,7.1,5,2.9,2.7
23,Eritrea,126.3,8.6,7.1,6.4,7.1,6.9,8.6,8.4,8.2,8.7,7.8,8.1,8.5,3.7,9.9,7.5,3.9,2.5,4.4
25,Liberia,126.2,8.4,8.9,6.5,6.7,7.7,8.6,6.9,8.8,6.1,7,8.4,9.3,3.7,9.8,2.8,6.5,7.2,2.9
26,Cameroon,126.1,8.2,7,7.5,7.5,8.1,6.5,8.9,8.1,7.8,7.9,9.2,6.5,3.9,9.6,2.1,6.6,7.9,2.8
48,Angola,126,8.9,6.9,6.5,5.6,9.1,4.8,8.2,8.3,7.6,5.9,7,6.4,4.8,9.7,4.7,11,5.3,5.3
28,Timor-Leste,125.2,8.4,7.7,6.8,6.1,7,8,8.5,8.4,6.3,8.3,8.3,8.9,4,10,2.5,5.3,7.5,3.2
21,Myanmar,125,7.9,8.2,8.7,5.7,8.7,7.6,9.4,8.4,8.6,7.5,8.6,6.9,2,10,1.9,4.6,8.1,2.2
