29,Bangladesh,119.8,8.1,7.3,8.6,7.5,7.8,7.3,8.3,8,7.3,7.7,8.9,5.8,2.1,9.6,7.1,3.9,2.9,1.6
38,Rwanda,119.1,8.4,7.9,8.2,6.9,7.7,6.7,6.5,7.6,7.7,5.5,8.2,8,3.5,9.2,7.3,4.4,2.7,2.7
45,Zambia,119,9.3,7.4,6,7.4,8,8.3,8,7.6,6.7,5,5.7,7.2,4.2,9,3.2,5.3,6.8,3.9
53,Papua New Guinea,118.9,7.6,5,6.6,7.5,9.1,6.9,7.1,8.9,6.2,6.6,7.1,6.3,3,9.9,0.3,5,9.7,6.1
59,Mozambique,118.7,9.2,4.6,4.9,7.2,8,8,7,8.5,6.4,6.5,5.6,6.8,4.1,9.6,6.4,7.2,3.6,5.1
30,Nepal,118.2,7.6,7.7,9,5.9,8.1,7.3,8.1,7.3,7.9,7.6,8.2,7.1,2.3,9.2,2.9,3.6,7.1,1.3
41,Cambodia,117.6,7.2,6.2,7,7.4,7.3,6.4,8.3,8.1,7.8,6.2,8,8,2.5,9.9,3.2,3.7,6.8,3.6
54,Libya,116.9,5.5,5.4,7.4,4.2,6.7,5,8.4,7.3,9,8.9,8,8.8,2.3,8.6,0.9,1.4,9.1,10
49,Swaziland,116.4,9,4.9,3.6,6.3,7.5,8.9,8.7,7.8,8.3,6,7,7.5,3.1,8.9,7.1,5.9,2.9,3
61,Madagascar,115.6,8.1,4.3,4.9,5.5,7.9,8.2,7.2,8.6,5.9,7,7.5,7.7,3.5,9.8,7.1,4.2,2.9,5.3
28,Sri Lanka,115.4,6.8,8.4,9.5,7.3,7.8,5.9,8.2,5.5,9,8.5,9.3,6.8,1.8,8.8,4.2,0.9,5.8,0.9
58,Laos,114.9,7.5,5.8,6.1,6.8,6.1,5.7,8.6,7.3,8.3,6.6,8.3,6.6,2.8,9.3,1,5.9,9,3.2
50,Dijbouti,114.8,8.3,7.2,6.2,5.2,7.3,6.9,7.8,7.4,7,6.6,7.5,8.1,2.7,9.3,7.3,6.2,2.7,1.1
51,Tajikistan,114.5,7.4,5.3,6.7,5.9,6.2,8,9.1,6.3,8.2,7.4,8.3,6.4,3,8.8,3.5,4.5,6.5,3
56,Comoros,114.3,7.4,4.5,5.3,7.2,6.4,8.2,7.4,7.9,6.6,7.5,7.5,8.1,3.5,9.5,7.1,6.3,2.9,1
34,Egypt,113.8,7.2,6.5,8.5,5.4,7.1,8.2,8.9,5.6,9.6,7.3,8.7,7.7,2.7,7.8,0.4,2.4,9.6,0.2
81,Turkmenistan,113.7,5.9,3.9,6.7,4.9,6.5,5.4,9.3,6.1,8.7,7.1,7.7,4.6,2.2,9.7,7.2,5,2.8,10
65,Tanzania,113.6,8.6,6.8,6,6.4,6.4,6.8,6.2,8.8,6.2,5.5,5.7,7.7,4.1,9.7,4.2,4.2,5.8,4.5
44,Uzbekistan,112.9,6.7,6,7.5,6.3,7.6,7.2,9,5.4,9.2,7.9,8.7,5.4,2.3,8.4,6.3,4,3.7,1.3
51,Solomon Islands,112.8,7.7,4.9,6.8,5.7,8.3,7.8,7.3,8,5.9,6.7,8,8.2,3.3,9.5,0.4,2.7,9.6,2
37,Iran,111.9,5.5,7.3,8.8,6.1,6.7,6.5,8.9,5,9.4,8.6,9.4,7.5,1.8,8.4,2.9,1.6,7.1,0.4
64,Senegal,111.7,8.3,7,6.3,6.8,6.8,7.2,5.9,7.8,6.2,6.2,6.6,6.3,3.9,9.2,4.9,4.7,5.1,2.5
62,Gambia,111.5,7.7,6.4,3.7,7.1,6.8,7.8,7.6,7.5,8,5.5,6.8,6.9,4.3,9.1,6.1,5.2,3.9,1.1
71,Lesotho,111.3,8.8,4.9,4.7,6.8,6.7,8.5,6,8.2,5.4,5.2,7,7.2,2.9,9.6,7.7,7.5,2.3,1.9
48,Kyrgyzstan,111,6.2,5.6,8.4,6.4,7,7.6,8.4,5.9,7.6,7.4,8,7.3,2.7,8.4,5.5,2.7,4.5,1.4
78,Benin,110.9,8.3,6.5,3.6,6.2,7.2,7.1,6,8.6,5.1,5.8,6.1,7.3,3.8,9.7,3.1,7.1,6.9,2.5
70,Guatemala,106.2,7.3,6,7.3,7.1,8.1,6.1,6.9,6.9,6.6,7,6,5.4,2.9,8.9,3.7,2.8,6.3,0.9
62,Bhutan,106.2,6.4,6.9,7.3,6.8,7.5,6.3,6,6.9,7.3,5.6,7.5,7.3,2,8.6,1.4,3.4,8.6,0.4
59,Philippines,106.2,7.1,6.5,7.9,6.2,6.5,5.6,7.6,6.4,6.7,8.7,8,5.5,2.5,7.5,4.1,2.5,5.9,1
67,Bolivia,106.1,6.9,4,7.1,6.4,8.9,6.2,7.2,6.8,6.3,6.7,8,6.3,2.5,7.8,3.4,3.7,6.6,1.3
55,Georgia,104.7,5.2,7.5,8,5.2,6.3,6.4,8.6,5.4,6.4,7.9,9.4,7.9,1.4,7.3,3.6,1.5,6.4,0.3
46,Lebanon,104.4,6.3,8.5,8.5,6,6.2,5.3,7.2,5.6,6.8,8.5,9.2,8.2,1.4,5.6,6.3,0.9,3.7,0.2
79,India,104.4,7.5,5.2,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.8,6.8,5.2,2.2,9.2,6,4.6,4,1
57,Colombia,104.3,6.5,8.3,7.5,7.3,8.1,3.8,7.3,6.1,7.3,6.8,7.7,7.1,1.7,6.3,3.8,1.6,6.2,0.9
72,Nicaragua,104.1,6.6,4.8,5.9,7.8,7.9,6.8,7.5,6.8,5.4,5.6,6.8,7.3,2.2,9,4.2,2.2,5.8,1.5
73,Algeria,103.6,5.8,7,7.8,5.1,6.2,5.8,7.4,5.9,7.7,7.4,7.3,5.2,2.5,8.7,1.7,2.4,8.3,1.4
67,Fiji,103.5,5.2,3.8,7.3,7,7.4,7.3,8.8,4.9,7.3,7,7.9,6.9,2.2,8,2.3,2,7.7,0.5
76,Indonesia,103.4,7.5,6,7.3,6.3,6.9,5.5,6.4,6.1,6.5,6.8,7,5.9,2.1,8.9,3.1,2.7,6.9,1.5
75,Honduras,102.8,7,3.9,5.8,6.6,8.1,6.9,6.9,6.8,6.3,6.8,6.3,6.9,2.3,8.9,2.9,2.1,7.1,1.2
74,Ecuador,101.5,5.8,5.7,7.2,6.8,7.4,5.6,7.2,6.9,4.9,6.7,8.2,6.2,2.2,7.1,3,2.1,7,1.5
66,China,101,8.1,6.1,8.3,5,8,3.6,8.1,6.8,9.4,6.5,7.2,3.8,1.2,6.6,5.5,1.4,4.5,0.9
