7,Afghanistan,106.7,9.3,9.2,9.2,7.2,7.8,8.2,9.4,8.8,8.4,9.9,9.4,10,3.9,9.6,5.8,7.5,4.2,5
119,Albania,65.2,4.7,3.1,4.8,6.6,4.8,5.3,7,4.8,6,5.5,6.3,6.3,1.2,5.5,4.4,1.5,5.6,0.4
73,Algeria,78.7,5.8,7,7.8,5.1,6.2,5.8,7.4,5.9,7.7,7.4,7.3,5.2,2.5,8.7,1.7,2.4,8.3,1.4
43,Angola,87.1,8.9,7.2,6.8,5.9,9.4,5.1,8.6,8.4,7.3,6.1,7.3,6.1,4.8,9.7,4.7,11,5.3,5.3
128,Antigua & Barbuda,58,4.6,3,4.1,7.6,5.6,4.5,5.8,4,4.4,4.9,3.7,5.8,1.7,5.3,2,0.8,8,0.2
144,Argentina,46.1,4.1,2,5,3,6,4,4.4,3.9,4.1,3,2.7,3.8,1.8,5.5,5.4,1.3,4.6,0.2
105,Armenia,71.3,4.9,7,5.7,6,5.6,5.9,6.6,4.4,6.8,5.3,7,6.2,1.4,7.5,6.1,1.6,3.9,0.2
169,Australia,25.4,3.3,2.7,3.6,1.1,3.3,2.1,1,1.8,2.2,1.7,1.6,1,1.4,2.4,5.2,0.4,4.8,0
166,Austria,26.9,2.3,2.4,4.3,1.6,4,1.9,1.5,1.5,2,1.1,2.7,1.6,0.9,2.5,3.9,0.4,6.1,0
76,Azerbaijan,78.2,5.3,7.9,6.9,4.7,6.1,4.7,8.2,5.1,7.6,6.9,7.8,6.9,1.8,5.4,5.8,3.4,4.2,1.7
133,Bahamas,54.7,6.6,2.8,4.4,5.6,5.6,4.5,4.9,4.4,2.8,4.3,4.5,4.3,1.6,5.7,0.1,1.1,9.9,0.2
124,Bahrain,62.9,4.6,2.5,7.3,3.3,5.7,3.2,7.6,2.4,7.5,6.1,7.1,5.6,1.6,4.5,1.1,0.7,8.9,0
29,Bangladesh,92.5,8.1,7.3,8.6,7.5,7.8,7.3,8.3,8,7.3,7.7,8.9,5.8,2.1,9.6,7.1,3.9,2.9,1.6
137,Barbados,50.8,3.8,2.7,4.4,6.2,5.7,5.8,3.6,2.7,2.5,4.2,4.2,5,1.2,3.5,3.5,1.4,6.5,0.1
81,Belarus,76.7,5.7,3.6,6.8,3.9,5.7,6.2,9,5.2,8.3,6.3,8.3,7.6,1.1,6.8,4.4,0.5,5.6,0
164,Belgium,30.9,2.5,1.6,4.1,1.8,3.8,3.5,2.1,2.2,1.5,2,3.9,2,1.2,2.5,4.5,0.4,5.5,0
114,Belize,67.2,6.5,4.9,4.4,7.1,6.6,5.5,6,6,4.1,5.5,4.3,6.3,2.4,7.2,0.7,1.6,9.3,0.3
78,Benin,77.9,8.3,6.5,3.6,6.2,7.2,7.1,6,8.6,5.1,5.8,6.1,7.3,3.8,9.7,3.1,7.1,6.9,2.5
