10,Cote d'Ivoire,102.8,8.1,8.5,8.7,7.9,8,7.7,9.5,8.4,8.6,8.6,9.1,9.7,3.8,9.7,6.5
132,Croatia,57.3,4.3,5.5,5.5,4.9,5,5.9,4.4,3.4,4.3,4.4,4.7,5,1,4.3,2.4
86,Cuba,76.6,6.3,5.4,5.1,6.9,6.3,6,6.6,5.3,7.4,6.9,6.9,7.5,1.1,8.4,6.1
115,Cyprus,67.6,4.4,4.4,7.6,5.3,7.3,5,5,3.3,3.3,5.3,7.9,8.8,1.2,4.7,1.2
152,Czech Republic,42.4,3,2.8,3.8,4,3.8,4.6,3.7,3.9,3,2.1,3.8,3.8,1.1,3.1,5.5
173,Denmark,23.8,2.9,2.1,3.3,2.1,1.7,2.5,1.2,1.6,1.3,1.5,1,2.6,1.1,1.1,6.2
60,Dijbouti,82.6,7.8,7.2,6.2,5.2,6.8,6,7.2,7.2,7,6.2,7.5,8.3,2.7,9.3,7.3
84,Dominican Republic,76.9,6.5,5.5,6.1,7.9,7.5,5.6,5.8,6.8,6.3,5.8,6.8,6.2,2.2,6.9,5
62,Ecuador,82.2,5.9,6.4,6.9,7.1,7.7,6.3,7.5,7.2,5.7,7,8.2,6.3,2.2,7.1,3
45,Egypt,86.8,7.1,6.4,8.3,5.7,7.4,6.5,8.6,5.9,8.3,6.8,8,7.8,2.7,7.8,0.4
89,El Salvador,76,7.6,5.3,5.8,7.1,7.6,6.3,6.5,6.9,6.7,7,4.3,4.9,1.8,8.4,7.4
40,Equatorial Guinea,88.1,8.5,2.7,6.6,7.2,9.1,4.5,9.6,8.1,9.4,8.1,8.2,6,3.6,9.4,1
28,Eritrea,93.6,8.3,6.8,6.1,7.4,6.5,8.3,8.5,8.4,8.9,7.7,8.1,8.5,3.7,9.9,7.5
140,Estonia,49.3,4.1,3.9,5.4,4.5,4.9,4.3,4.1,2.9,3,2.9,5.5,3.9,1.2,2.6,2.2
19,Ethiopia,98.2,9.1,8.2,8.4,7.2,8.2,7.7,7.5,8.4,8.5,7.9,9,8.1,3.5,9.9,3.6
68,Fiji,81.1,5.9,3.9,7.6,6.9,7.7,7,8.6,5.5,6.5,7,7.9,6.6,2.2,8,2.3
177,Finland,19.7,2,2.1,1.7,2.5,1.3,2.8,1,1.5,1.1,1,1.2,1.5,1.1,1.3,0.8
161,France,34,3.3,2.8,5.9,1.8,4.9,3.5,1.6,1.9,2.5,1.9,1.9,2,1.3,2.3,5.3
92,Gabon,75.3,6.8,6.2,3.3,6.1,7.9,5.5,7.5,6.7,6.7,5.7,7.1,5.8,3.1,9.3,2
